bolts,Development Aid
com/braintreepayments/api,Development Aid
com/daggertech,Development Aid
com/fasterxml/jackson/core,Development Aid
com/google/common,Development Aid
com/google/inject,Development Aid
org/joda/time,Development Aid
com/squareup/leakcanary,Development Aid
com/mapbox/mapboxsdk,Development Aid
org/msgpack,Development Aid
com/avos/avoscloud/okhttp,Development Aid
com/squareup/okhttp,Development Aid
okio,Development Aid
com/j256/ormlite,Development Aid
com/paypal/android/sdk,Development Aid
org/ocpsoft/prettytime,Development Aid
retrofit,Development Aid
roboguice,Development Aid
org/scribe,Development Aid
com/bytedance/sdk/openadsdk,Advertisement
com/microsoft/clarity,Mobile Analytics
com/microsoft/identity/common,Digital Identity
com/amplitude,Mobile Analytics
github/nisrulz/easydeviceinfo,Development Aid
com/zoontek,Development Aid
com/learnium,Development Aid
com/reactnativecommunity,Development Aid
org/reactnative,Development Aid
expo/modules,Development Aid
com/shopgun,Advertisement/Marketing
